Loss iteration 13: ['3.79e-04', '3.66e-04', '8.76e-06', '4.78e-06', '0.00e+00'] - 6s
Loss iteration 14: ['3.17e-04', '3.07e-04', '5.15e-06', '4.73e-06', '3.03e-04'] - 6s
Loss iteration 15: ['4.22e-04', '4.12e-04', '3.37e-06', '6.04e-06', '1.52e-04'] - 6s
Loss iteration 16: ['3.81e-04', '3.64e-04', '1.18e-05', '5.06e-06', '6.15e-05'] - 6s
Loss iteration 17: ['3.22e-04', '3.08e-04', '8.89e-06', '4.86e-06', '1.42e-04'] - 6s
Loss iteration 18: ['3.75e-04', '3.67e-04', '2.72e-06', '5.63e-06', '5.58e-05'] - 6s
Loss iteration 19: ['3.84e-04', '3.74e-04', '4.11e-06', '5.87e-06', '2.50e-04'] - 6s
Loss iteration 20: ['3.62e-04', '3.55e-04', '1.91e-06', '5.03e-06', '1.13e-04'] - 6s
Loss iteration 21: ['4.29e-04', '4.21e-04', '3.54e-06', '4.67e-06', '4.00e-05'] - 6s
Loss iteration 22: ['5.69e-04', '5.61e-04', '2.11e-06', '5.35e-06', '2.34e-04'] - 6s
Loss iteration 23: ['3.45e-04', '3.37e-04', '2.75e-06', '5.34e-06', '0.00e+00'] - 1s
Loss iteration 24: ['4.56e-04', '4.42e-04', '8.11e-06', '6.13e-06', '0.00e+00'] - 6s
Loss iteration 25: ['4.81e-04', '4.66e-04', '9.24e-06', '5.21e-06', '0.00e+00'] - 6s
Loss iteration 26: ['5.60e-04', '5.43e-04', '8.94e-06', '7.32e-06', '0.00e+00'] - 6s
Loss iteration 27: ['4.93e-04', '4.65e-04', '2.20e-05', '6.42e-06', '0.00e+00'] - 6s
Loss iteration 28: ['6.32e-04', '6.22e-04', '3.10e-06', '6.33e-06', '0.00e+00'] - 6s
Loss iteration 29: ['5.13e-04', '4.98e-04', '9.29e-06', '5.91e-06', '0.00e+00'] - 6s
Loss iteration 30: ['5.09e-04', '4.99e-04', '3.95e-06', '6.28e-06', '0.00e+00'] - 2s
Loss iteration 31: ['6.00e-04', '5.92e-04', '2.07e-06', '5.91e-06', '0.00e+00'] - 6s
Loss iteration 32: ['6.22e-04', '6.13e-04', '3.63e-06', '5.33e-06', '0.00e+00'] - 6s
Loss iteration 33: ['5.68e-04', '5.55e-04', '7.08e-06', '5.92e-06', '0.00e+00'] - 1s
Loss iteration 34: ['5.61e-04', '5.47e-04', '7.64e-06', '6.02e-06', '0.00e+00'] - 6s
Loss iteration 35: ['3.19e-04', '3.05e-04', '8.40e-06', '6.50e-06', '1.83e-04'] - 6s
Loss iteration 36: ['5.12e-04', '5.03e-04', '2.98e-06', '5.99e-06', '3.97e-04'] - 6s
Loss iteration 37: ['4.76e-04', '4.60e-04', '8.81e-06', '7.43e-06', '3.05e-04'] - 6s
Loss iteration 38: ['6.70e-04', '6.57e-04', '6.02e-06', '7.37e-06', '1.55e-03'] - 6s
Loss iteration 39: ['5.53e-04', '5.31e-04', '1.50e-05', '7.36e-06', '8.32e-04'] - 2s
Loss iteration 40: ['8.53e-04', '8.19e-04', '2.71e-05', '6.77e-06', '9.94e-04'] - 6s
Loss iteration 41: ['7.18e-04', '6.73e-04', '3.70e-05', '7.20e-06', '5.18e-04'] - 6s
