Loss iteration 12: ['4.12e-04', '3.16e-04', '1.19e-05', '8.45e-05', '0.00e+00'] - 8s
Loss iteration 13: ['4.56e-04', '3.56e-04', '1.74e-05', '8.19e-05', '0.00e+00'] - 7s
Loss iteration 14: ['2.47e-04', '1.59e-04', '8.92e-06', '7.89e-05', '2.58e-03'] - 8s
Loss iteration 15: ['3.24e-04', '2.27e-04', '1.88e-05', '7.78e-05', '2.46e-03'] - 2s
Loss iteration 16: ['4.01e-04', '3.18e-04', '5.84e-06', '7.78e-05', '1.66e-03'] - 3s
Loss iteration 17: ['3.47e-04', '2.68e-04', '4.45e-06', '7.45e-05', '1.41e-03'] - 8s
Loss iteration 18: ['3.86e-04', '3.08e-04', '6.87e-06', '7.21e-05', '1.62e-03'] - 7s
Loss iteration 19: ['4.81e-04', '4.04e-04', '4.60e-06', '7.29e-05', '1.50e-03'] - 8s
Loss iteration 20: ['3.42e-04', '2.51e-04', '2.11e-05', '7.02e-05', '2.13e-03'] - 8s
Loss iteration 21: ['3.92e-04', '3.02e-04', '1.85e-05', '7.09e-05', '2.18e-03'] - 3s
Loss iteration 22: ['3.63e-04', '2.87e-04', '6.27e-06', '6.97e-05', '3.71e-03'] - 7s
Loss iteration 23: ['3.23e-04', '2.45e-04', '9.22e-06', '6.90e-05', '0.00e+00'] - 4s
Loss iteration 24: ['2.69e-04', '1.91e-04', '9.13e-06', '6.86e-05', '0.00e+00'] - 3s
Loss iteration 25: ['2.84e-04', '2.11e-04', '7.34e-06', '6.58e-05', '0.00e+00'] - 7s
Loss iteration 26: ['2.72e-04', '1.94e-04', '1.43e-05', '6.40e-05', '0.00e+00'] - 2s
Loss iteration 27: ['5.59e-04', '4.89e-04', '5.12e-06', '6.45e-05', '0.00e+00'] - 2s
Loss iteration 28: ['2.77e-04', '2.07e-04', '6.88e-06', '6.35e-05', '0.00e+00'] - 3s
Loss iteration 29: ['4.00e-04', '3.32e-04', '4.52e-06', '6.38e-05', '0.00e+00'] - 8s
Loss iteration 30: ['4.15e-04', '3.42e-04', '7.98e-06', '6.49e-05', '0.00e+00'] - 7s
Loss iteration 31: ['3.88e-04', '3.11e-04', '1.20e-05', '6.55e-05', '0.00e+00'] - 3s
Loss iteration 32: ['4.68e-04', '3.90e-04', '1.39e-05', '6.46e-05', '0.00e+00'] - 2s
Loss iteration 33: ['4.02e-04', '3.25e-04', '1.12e-05', '6.57e-05', '0.00e+00'] - 3s
Loss iteration 34: ['3.70e-04', '2.97e-04', '8.48e-06', '6.44e-05', '0.00e+00'] - 7s
Loss iteration 35: ['4.60e-04', '3.85e-04', '1.11e-05', '6.39e-05', '1.75e-02'] - 6s
Loss iteration 36: ['2.59e-04', '1.91e-04', '6.79e-06', '6.11e-05', '1.38e-02'] - 7s
Loss iteration 37: ['2.83e-04', '2.08e-04', '1.55e-05', '5.89e-05', '1.26e-02'] - 3s
Loss iteration 38: ['3.62e-04', '3.02e-04', '2.94e-06', '5.73e-05', '1.52e-02'] - 7s
Loss iteration 39: ['3.36e-04', '2.75e-04', '4.16e-06', '5.69e-05', '1.47e-02'] - 8s
Loss iteration 40: ['3.09e-04', '2.43e-04', '1.05e-05', '5.60e-05', '1.51e-02'] - 8s
Loss iteration 41: ['3.19e-04', '2.55e-04', '6.15e-06', '5.74e-05', '1.36e-02'] - 8s
Loss iteration 42: ['3.65e-04', '2.93e-04', '1.50e-05', '5.71e-05', '1.66e-02'] - 5s
Loss iteration 43: ['3.06e-04', '2.33e-04', '1.46e-05', '5.82e-05', '1.64e-02'] - 7s
Loss iteration 44: ['3.21e-04', '2.53e-04', '1.00e-05', '5.84e-05', '0.00e+00'] - 7s
Loss iteration 45: ['2.66e-04', '2.03e-04', '7.03e-06', '5.62e-05', '0.00e+00'] - 7s
Loss iteration 46: ['3.90e-04', '3.28e-04', '9.40e-06', '5.36e-05', '0.00e+00'] - 7s
Loss iteration 47: ['3.46e-04', '2.90e-04', '5.45e-06', '5.08e-05', '0.00e+00'] - 8s
Loss iteration 48: ['3.24e-04', '2.70e-04', '3.77e-06', '5.00e-05', '0.00e+00'] - 3s
Loss iteration 49: ['4.34e-04', '3.78e-04', '8.24e-06', '4.76e-05', '0.00e+00'] - 8s
Loss iteration 50: ['4.73e-04', '4.22e-04', '2.21e-06', '4.83e-05', '0.00e+00'] - 8s
Loss iteration 51: ['4.70e-04', '4.09e-04', '1.38e-05', '4.75e-05', '0.00e+00'] - 7s
Loss iteration 52: ['3.72e-04', '3.19e-04', '3.40e-06', '4.96e-05', '0.00e+00'] - 4s
Loss iteration 53: ['5.10e-04', '4.51e-04', '9.02e-06', '5.00e-05', '0.00e+00'] - 3s
Loss iteration 54: ['6.70e-04', '6.14e-04', '5.15e-06', '5.16e-05', '0.00e+00'] - 8s
Loss iteration 55: ['5.64e-04', '5.10e-04', '3.11e-06', '5.07e-05', '0.00e+00'] - 7s
Loss iteration 56: ['5.96e-04', '5.40e-04', '6.72e-06', '4.93e-05', '0.00e+00'] - 7s
